statefips,1979–1981,2022–2024
AL,-0.18374864448646755,-0.12105630328233241
AK,-0.02116098179037984,-0.16677048091816793
AZ,-0.07886102605316836,-0.09257542581968914
AR,-0.10941728732159717,-0.0545120187434216
CA,-0.07538080254275481,-0.15687688180353054
CO,-0.06319484804584707,-0.16588002327234974
CT,-0.03948476930507938,-0.1935270139056735
DE,-0.05681058929663341,-0.10486877798731564
DC,-0.11307763812139104,-0.22953266504966274
FL,-0.10591196534544556,-0.1098374544309515
GA,-0.11674529385717602,-0.09763177591190053
HI,-0.13805790197413315,-0.025689410469208696
ID,-0.24757701873424065,-0.03478437988793204
IL,-0.022148039245905027,-0.10528224784074136
IN,0.03370616392930992,-0.10359876586527006
IA,-0.059279584510229744,-0.13255353661384983
KS,-0.03300546036837482,-0.0715592056402452
KY,-0.07537152494837496,-0.06306043930323701
LA,-0.14417752938757877,-0.114108181196658
ME,0.0309484615940121,-0.1463954465370655
MD,-0.04304844778000583,-0.12115403226248667
MA,-0.07100699451425418,-0.16415339067319534
MI,0.005485678988530918,-0.10368612417199352
MN,-0.004193021210592285,-0.0967043887405713
MS,-0.17412996563153438,-0.12324905162906963
MO,-0.023077677920452566,-0.06798722078817399
MT,-0.12462822650378591,-0.09975010594719524
NE,0.11947337588847917,-0.06012768618327402
NV,-0.10931983273510881,-0.1242811745708493
NH,0.0133778923532204,-0.13840282640741497
NJ,-0.07393629395075774,-0.14555960562479564
NM,-0.00941534934801036,-0.09114403622486478
NY,-0.041632069937693084,-0.1242741224986661
NC,-0.1351164998294635,-0.12404458188320944
ND,0.11070743166645469,-0.13506013495004632
OH,-0.005512874615493879,-0.079658961120851135
OK,-0.07020398183417664,-0.08661523010827876
OR,0.017782093017365552,-0.12044057977082534
PA,-0.02147449822657821,-0.13239162401530014
RI,-0.07022817749911825,-0.07801688946312824
SC,-0.15634463046067493,-0.1154499578189595
SD,0.44719512457410326,-0.151828259158985
TN,-0.07324952101185944,-0.06887282773215853
TX,-0.11335125707085847,-0.12851438842946672
UT,5.985022297627651e-4,-0.12265951048985935
VT,-0.09088277951523382,-0.09539331039941035
VA,-0.12794814666825327,-0.14026916121501787
WA,-0.007567671432943679,-0.06098298499958532
WV,-0.07116379111863602,-0.09239183603390333
WI,0.026001925222018496,-0.07708424614349385
WY,0.04968235457359094,-0.14061926318610196
National,-0.079,-0.116
