statefips,1979–1983,2020–2024
AL,-0.1517889581280294,-0.08169449095532166
AK,-0.05009477335421875,-0.18235884010355685
AZ,-0.05762578549600872,-0.04735260396106289
AR,-0.10744819864141741,-0.05796141056228221
CA,-0.040254370372279746,-0.06509599552376866
CO,-0.024876198348893652,-0.09024815329089053
CT,-0.04188130769863452,-0.03948471380013707
DE,-0.0475424254281015,-0.06346265724652267
DC,-0.006357054150341046,-0.1036086962545496
FL,-0.08530953417268416,-0.07080295843189544
GA,-0.11049710519901468,-0.07659076700499934
HI,-0.004905659568741005,0.017455343002743096
ID,-0.20234353108251535,0.008464903195828155
IL,0.006176203014235604,-0.055981866000346714
IN,0.049633741042677704,-0.04173872472086948
IA,-0.012558189841119338,-0.12108583812947571
KS,0.007227850332712782,-0.046777558678476217
KY,-0.0376032047010838,-0.041379775537802255
LA,-0.1215063388901364,-0.08464004087159105
ME,0.07852655352276927,-0.033797372318747465
MD,-0.03496608503236831,-0.05816211739542021
MA,-0.0605880073771673,-0.10514151140173922
MI,0.05648951636801702,-0.019433948405047308
MN,0.04692664938158608,-0.03574600198309519
MS,-0.15763167789982924,-0.07597095647930807
MO,0.010060734392350001,-0.020147696272819315
MT,-0.16848293850112783,-0.07697654992489877
NE,0.08098764805033043,-0.06019164561993118
NV,-0.09147278809699166,-0.07987488171277435
NH,0.08868259404325585,-0.09815208766384986
NJ,-0.04543904309066249,-0.0654963189835942
NM,-0.011993987426189734,-0.012552999478211757
NY,0.007723674672594161,-0.03425428327945135
NC,-0.11272862216670232,-0.06351629704813844
ND,-0.08959679515383179,-0.13814555514388616
OH,0.0014983571813964591,-0.06485187189040909
OK,-0.03758331034146145,-0.06875337689136363
OR,0.022670650254000613,-0.03280395595988539
PA,0.0063502707129750036,-0.045022632151099584
RI,-0.06943988822409997,-0.11630275992684491
SC,-0.1381848491632296,-0.040793926590248386
SD,-0.11835345375623108,-0.08296543791037758
TN,-0.05591943109541553,-0.01918049612700634
TX,-0.06756005690193156,-0.05301801987843813
UT,-0.015247488576699109,-0.029919278150386197
VT,0.2196957649872573,-0.08380902399410506
VA,-0.09324417552177733,-0.054396101112673345
WA,-0.029331531688368218,-0.05335273307602462
WV,-0.030145885908786307,-0.053540435408675036
WI,0.05916343412424574,-0.0597672585603628
WY,-0.13416530771975554,-0.006538061759338132
National,-0.079,-0.116
